High,Low,Open,Close,Volume,Adj Close,ticker
54.19499969482422,52.9275016784668,53.46500015258789,54.17499923706055,127111600,53.0029411315918,AAPL
55.9275016784668,54.432498931884766,54.51750183105469,55.897499084472656,177158400,54.688175201416016,AAPL
56.60499954223633,55.71500015258789,56.20000076293945,55.772499084472656,128906800,54.56588363647461,AAPL
55.1974983215332,54.255001068115234,55.0,54.6875,159053200,53.50435256958008,AAPL
55.032501220703125,54.38999938964844,54.432498931884766,54.974998474121094,84632400,53.78563690185547,AAPL
55.20500183105469,54.779998779296875,54.9900016784668,55.17499923706055,73274800,53.981300354003906,AAPL
55.712501525878906,54.86000061035156,55.26499938964844,55.692501068115234,101360000,54.487613677978516,AAPL
55.939998626708984,55.092498779296875,55.502498626708984,55.2400016784668,88242400,54.04490280151367,AAPL
55.63999938964844,54.36750030517578,55.345001220703125,54.432498931884766,221652400,53.2548713684082,AAPL
54.959999084472656,54.412498474121094,54.73749923706055,54.68000030517578,76662000,53.49702835083008,AAPL
55.622501373291016,54.29750061035156,55.25749969482422,54.41999816894531,124763200,53.242637634277344,AAPL
55.375,54.28499984741211,54.63750076293945,55.25749969482422,87613600,54.06201934814453,AAPL
55.23500061035156,54.70750045776367,55.0,54.97249984741211,75334000,53.7831916809082,AAPL
55.2400016784668,54.31999969482422,55.1349983215332,54.70500183105469,101408000,53.521484375,AAPL
56.14500045776367,55.1974983215332,55.224998474121094,55.99250030517578,103909600,54.7811164855957,AAPL
57.05500030517578,56.04999923706055,56.26750183105469,56.147499084472656,139223200,54.932762145996094,AAPL
55.89500045776367,54.48249816894531,55.76499938964844,54.7400016784668,138449200,53.55571746826172,AAPL
55.2400016784668,53.782501220703125,54.60749816894531,55.20500183105469,114426000,54.01066207885742,AAPL
56.872501373291016,55.97249984741211,56.40999984741211,56.752498626708984,138478800,55.52467727661133,AAPL
57.48249816894531,56.459999084472656,56.567501068115234,56.76499938964844,122306000,55.53691101074219,AAPL
57.01499938964844,56.08250045776367,56.45500183105469,56.099998474121094,111820000,54.88629150390625,AAPL
56.9474983215332,56.40999984741211,56.75749969482422,56.75749969482422,74770400,55.529571533203125,AAPL
60.5,59.729000091552734,59.75749969482422,60.29999923706055,25202000,60.29999923706055,GOOG
61.130001068115234,60.11000061035156,60.170501708984375,61.00849914550781,26140000,61.00849914550781,GOOG
62.09299850463867,61.1510009765625,61.21500015258789,61.712501525878906,34518000,61.712501525878906,GOOG
62.04399871826172,61.35049819946289,61.567501068115234,61.97800064086914,26028000,61.97800064086914,GOOG
61.97800064086914,61.28049850463867,61.47600173950195,61.564998626708984,21066000,61.564998626708984,GOOG
61.75,61.18450164794922,61.52000045776367,61.45750045776367,19102000,61.45750045776367,GOOG
61.78049850463867,60.826499938964844,61.3754997253418,61.62049865722656,22702000,61.62049865722656,GOOG
62.22200012207031,61.60100173950195,61.60300064086914,61.93550109863281,19920000,61.93550109863281,GOOG
62.16600036621094,61.15399932861328,61.65599822998047,61.496498107910156,45400000,61.496498107910156,GOOG
61.954498291015625,61.208499908447266,61.29999923706055,61.701499938964844,21248000,61.701499938964844,GOOG
62.33700180053711,60.534000396728516,62.0,60.9379997253418,31664000,60.9379997253418,GOOG
62.415000915527344,60.50450134277344,60.79100036621094,62.32600021362305,29060000,62.32600021362305,GOOG
62.25,61.613399505615234,62.097999572753906,62.06949996948242,30760000,62.06949996948242,GOOG
62.20100021362305,60.72249984741211,62.1505012512207,61.25450134277344,27078000,61.25450134277344,GOOG
61.29999923706055,60.6150016784668,61.048500061035156,60.95000076293945,28082000,60.95000076293945,GOOG
61.561500549316406,60.17900085449219,60.95000076293945,60.255001068115234,25470000,60.255001068115234,GOOG
59.8489990234375,58.56449890136719,59.8489990234375,58.83150100708008,32302000,58.83150100708008,GOOG
59.452999114990234,58.121498107910156,59.0,59.39149856567383,32424000,59.39149856567383,GOOG
60.571998596191406,59.458499908447266,59.59450149536133,60.45000076293945,23248000,60.45000076293945,GOOG
60.91019821166992,60.1875,60.220001220703125,60.38399887084961,16858000,60.38399887084961,GOOG
60.30400085449219,59.45050048828125,59.87950134277344,59.45650100708008,20786000,59.45650100708008,GOOG
60.41749954223633,59.881500244140625,59.967498779296875,60.115501403808594,17354000,60.115501403808594,GOOG
51.84000015258789,50.83000183105469,51.33000183105469,51.81999969482422,18532000,47.78062057495117,INTC
52.790000915527344,51.380001068115234,51.599998474121094,52.790000915527344,18968900,48.675010681152344,INTC
53.33000183105469,52.06999969482422,53.0,53.0099983215332,23308700,48.87785339355469,INTC
53.0,52.22999954223633,52.7599983215332,52.540000915527344,18010800,48.444488525390625,INTC
52.290000915527344,51.70000076293945,51.900001525878906,52.20000076293945,13354600,48.1309928894043,INTC
52.13999938964844,51.349998474121094,52.04999923706055,51.95000076293945,19641100,47.900489807128906,INTC
52.130001068115234,51.15999984741211,52.130001068115234,51.7400016784668,14906800,47.70685577392578,INTC
51.9900016784668,51.5,51.70000076293945,51.56999969482422,11428400,47.55010986328125,INTC
51.880001068115234,50.560001373291016,51.599998474121094,50.720001220703125,37067900,46.766357421875,INTC
51.22999954223633,50.38999938964844,50.83000183105469,50.900001525878906,18916600,46.93233108520508,INTC
51.18000030517578,49.63999938964844,51.099998474121094,49.81999969482422,28197400,45.936519622802734,INTC
51.209999084472656,49.41999816894531,49.75,51.02000045776367,19486700,47.04297637939453,INTC
51.150001525878906,50.34000015258789,50.97999954223633,50.91999816894531,11351800,46.950767517089844,INTC
51.220001220703125,50.34000015258789,50.630001068115234,50.779998779296875,14845700,46.821678161621094,INTC
