Date,High,Low,Open,Close,Volume,Adj Close
2019-09-10,51.84000015258789,50.83000183105469,51.33000183105469,51.81999969482422,18532000,47.78062057495117
2019-09-11,52.790000915527344,51.380001068115234,51.599998474121094,52.790000915527344,18968900,48.675010681152344
2019-09-12,53.33000183105469,52.06999969482422,53.0,53.0099983215332,23308700,48.87785339355469
2019-09-13,53.0,52.22999954223633,52.7599983215332,52.540000915527344,18010800,48.444488525390625
2019-09-16,52.290000915527344,51.70000076293945,51.900001525878906,52.20000076293945,13354600,48.1309928894043
2019-09-17,52.13999938964844,51.349998474121094,52.04999923706055,51.95000076293945,19641100,47.900489807128906
2019-09-18,52.130001068115234,51.15999984741211,52.130001068115234,51.7400016784668,14906800,47.70685577392578
2019-09-19,51.9900016784668,51.5,51.70000076293945,51.56999969482422,11428400,47.55010986328125
2019-09-20,51.880001068115234,50.560001373291016,51.599998474121094,50.720001220703125,37067900,46.766357421875
2019-09-23,51.22999954223633,50.38999938964844,50.83000183105469,50.900001525878906,18916600,46.93233108520508
2019-09-24,51.18000030517578,49.63999938964844,51.099998474121094,49.81999969482422,28197400,45.936519622802734
2019-09-25,51.209999084472656,49.41999816894531,49.75,51.02000045776367,19486700,47.04297637939453
2019-09-26,51.150001525878906,50.34000015258789,50.97999954223633,50.91999816894531,11351800,46.950767517089844
2019-09-27,51.220001220703125,50.34000015258789,50.630001068115234,50.779998779296875,14845700,46.821678161621094
2019-09-30,51.599998474121094,50.939998626708984,51.189998626708984,51.529998779296875,13652100,47.513221740722656
2019-10-01,52.2400016784668,50.43000030517578,51.970001220703125,50.7599983215332,18413100,46.80324172973633
2019-10-02,50.369998931884766,48.97999954223633,50.310001373291016,49.38999938964844,20078700,45.540035247802734
2019-10-03,50.06999969482422,48.529998779296875,49.5,50.029998779296875,16320100,46.13014221191406
2019-10-04,50.970001220703125,50.029998779296875,50.349998474121094,50.91999816894531,12644900,46.950767517089844
2019-10-07,51.22999954223633,50.560001373291016,50.70000076293945,50.619998931884766,12081400,46.674156188964844
2019-10-08,50.47999954223633,49.61000061035156,50.15999984741211,49.72999954223633,17409100,45.85353088378906
2019-10-09,50.790000915527344,50.150001525878906,50.470001220703125,50.47999954223633,11834900,46.54507827758789
