PERMNO,CUSIP,Ticker,DlyCalDt,DlyPrc,DlyRetx,DlyClose
14593,03783310,AAPL,20200220,320.3000,-0.010259,320.3000
14593,03783310,AAPL,20200221,313.0500,-0.022635,313.0500
14593,03783310,AAPL,20200224,298.1800,-0.047500,298.1800
14593,03783310,AAPL,20200225,288.0800,-0.033872,288.0800
14593,03783310,AAPL,20200226,292.6500,0.015864,292.6500
14593,03783310,AAPL,20200227,273.5200,-0.065368,273.5200
14593,03783310,AAPL,20200228,273.3600,-0.000585,273.3600
14593,03783310,AAPL,20200302,298.8100,0.093101,298.8100
14593,03783310,AAPL,20200303,289.3200,-0.031759,289.3200
14593,03783310,AAPL,20200304,302.7400,0.046385,302.7400
14593,03783310,AAPL,20200305,292.9200,-0.032437,292.9200
14593,03783310,AAPL,20200306,289.0300,-0.013280,289.0300
14593,03783310,AAPL,20200309,266.1700,-0.079092,266.1700
14593,03783310,AAPL,20200310,285.3400,0.072022,285.3400
14593,03783310,AAPL,20200311,275.4300,-0.034730,275.4300
14593,03783310,AAPL,20200312,248.2300,-0.098755,248.2300
14593,03783310,AAPL,20200313,277.9700,0.119808,277.9700
14593,03783310,AAPL,20200316,242.2100,-0.128647,242.2100
14593,03783310,AAPL,20200317,252.8600,0.043970,252.8600
14593,03783310,AAPL,20200318,246.6700,-0.024480,246.6700
14593,03783310,AAPL,20200319,244.7800,-0.007662,244.7800
14593,03783310,AAPL,20200320,229.2400,-0.063486,229.2400
14593,03783310,AAPL,20200323,224.3700,-0.021244,224.3700
14593,03783310,AAPL,20200324,246.8800,0.100325,246.8800
14593,03783310,AAPL,20200325,245.5200,-0.005509,245.5200
14593,03783310,AAPL,20200326,258.4400,0.052623,258.4400
14593,03783310,AAPL,20200327,247.7400,-0.041402,247.7400
14593,03783310,AAPL,20200330,254.8100,0.028538,254.8100
14593,03783310,AAPL,20200331,254.2900,-0.002041,254.2900
14593,03783310,AAPL,20200401,240.9100,-0.052617,240.9100
14593,03783310,AAPL,20200402,244.9300,0.016687,244.9300
14593,03783310,AAPL,20200403,241.4100,-0.014371,241.4100
14593,03783310,AAPL,20200406,262.4700,0.087237,262.4700
14593,03783310,AAPL,20200407,259.4300,-0.011582,259.4300
14593,03783310,AAPL,20200408,266.0700,0.025595,266.0700
14593,03783310,AAPL,20200409,267.9900,0.007216,267.9900
14593,03783310,AAPL,20200413,273.2500,0.019628,273.2500
14593,03783310,AAPL,20200414,287.0500,0.050503,287.0500
14593,03783310,AAPL,20200415,284.4300,-0.009127,284.4300
14593,03783310,AAPL,20200416,286.6900,0.007946,286.6900
14593,03783310,AAPL,20200417,282.8000,-0.013569,282.8000
14593,03783310,AAPL,20200420,276.9300,-0.020757,276.9300
14593,03783310,AAPL,20200421,268.3700,-0.030910,268.3700
14593,03783310,AAPL,20200422,276.1000,0.028804,276.1000
14593,03783310,AAPL,20200423,275.0300,-0.003875,275.0300
14593,03783310,AAPL,20200424,282.9700,0.028870,282.9700
14593,03783310,AAPL,20200427,283.1700,0.000707,283.1700
14593,03783310,AAPL,20200428,278.5800,-0.016209,278.5800
14593,03783310,AAPL,20200429,287.7300,0.032845,287.7300
14593,03783310,AAPL,20200430,293.8000,0.021096,293.8000
14593,03783310,AAPL,20200501,289.0700,-0.016099,289.0700
14593,03783310,AAPL,20200504,293.1600,0.014149,293.1600
14593,03783310,AAPL,20200505,297.5600,0.015009,297.5600
14593,03783310,AAPL,20200506,300.6300,0.010317,300.6300
14593,03783310,AAPL,20200507,303.7400,0.010345,303.7400
14593,03783310,AAPL,20200508,310.1300,0.021038,310.1300
14593,03783310,AAPL,20200511,315.0100,0.015735,315.0100
