DATE,DGS5
2022-08-15,2.91
2022-08-16,2.95
2022-08-17,3.04
2022-08-18,3.02
2022-08-19,3.11
2022-08-22,3.17
2022-08-23,3.18
2022-08-24,3.20
2022-08-25,3.15
2022-08-26,3.20
2022-08-29,3.27
2022-08-30,3.27
2022-08-31,3.30
2022-09-01,3.39
2022-09-02,3.30
2022-09-05,.
2022-09-06,3.43
2022-09-07,3.37
2022-09-08,3.39
2022-09-09,3.45
2022-09-12,3.47
2022-09-13,3.58
2022-09-14,3.60
2022-09-15,3.66
